,_0_14eves,_15_18eves,_19_30eves,_31_62eves,_63_Xeves,kerulet,nepesseg,nmar,telepules,x,y
6021,3,0,1,2,0,,6,280.0,Mosonmagyaróvár,513800.0,279000.0
6030,0,0,0,2,0,,2,280.0,Mosonmagyaróvár,513900.0,288200.0
6069,7,2,8,10,3,,30,280.0,Mosonmagyaróvár,514600.0,280300.0
6071,14,5,9,25,8,,61,270.0,Mosonmagyaróvár,515000.0,279800.0
6072,0,0,2,1,0,,3,280.0,Mosonmagyaróvár,515000.0,283800.0
6073,0,0,0,0,1,,1,280.0,Mosonmagyaróvár,515100.0,282700.0
6074,2,0,4,7,0,,13,280.0,Mosonmagyaróvár,515300.0,277100.0
6075,1,0,3,5,2,,11,280.0,Mosonmagyaróvár,515300.0,282400.0
6076,0,0,0,1,0,,1,280.0,Mosonmagyaróvár,515400.0,281300.0
6077,0,0,5,3,0,,8,280.0,Mosonmagyaróvár,515400.0,282500.0
6078,1,0,5,9,0,,15,280.0,Mosonmagyaróvár,515400.0,282600.0
6079,0,0,18,8,0,,26,280.0,Mosonmagyaróvár,515500.0,282000.0
6080,0,0,2,8,0,,10,280.0,Mosonmagyaróvár,515500.0,282400.0
6081,21,0,6,29,3,,59,280.0,Mosonmagyaróvár,515500.0,282600.0
6082,1,1,3,18,4,,27,280.0,Mosonmagyaróvár,515500.0,282700.0
6083,0,0,1,1,0,,2,280.0,Mosonmagyaróvár,515500.0,282800.0
6084,0,0,0,1,1,,2,280.0,Mosonmagyaróvár,515600.0,282300.0
6085,5,2,5,15,4,,31,280.0,Mosonmagyaróvár,515600.0,282400.0
6086,0,0,0,5,5,,10,280.0,Mosonmagyaróvár,515600.0,282500.0
6087,3,0,5,6,10,,24,280.0,Mosonmagyaróvár,515600.0,282600.0
6088,5,1,5,7,14,,32,280.0,Mosonmagyaróvár,515600.0,282700.0
6089,3,1,5,10,6,,25,280.0,Mosonmagyaróvár,515600.0,282800.0
6090,17,3,14,28,2,,64,280.0,Mosonmagyaróvár,515600.0,282900.0
6091,1,0,0,3,0,,4,280.0,Mosonmagyaróvár,515700.0,280400.0
6092,2,2,3,6,2,,15,280.0,Mosonmagyaróvár,515700.0,282000.0
6093,19,2,19,48,10,,98,280.0,Mosonmagyaróvár,515700.0,282300.0
6094,14,4,2,27,6,,53,280.0,Mosonmagyaróvár,515700.0,282400.0
6095,3,0,3,20,17,,43,280.0,Mosonmagyaróvár,515700.0,282500.0
6096,2,1,1,6,4,,14,280.0,Mosonmagyaróvár,515700.0,282600.0
6097,0,0,3,5,3,,11,280.0,Mosonmagyaróvár,515700.0,282700.0
6098,5,0,1,7,7,,20,280.0,Mosonmagyaróvár,515700.0,282800.0
6099,5,2,70,44,8,,129,280.0,Mosonmagyaróvár,515800.0,281800.0
6100,5,6,8,38,11,,68,280.0,Mosonmagyaróvár,515800.0,282100.0
