,AREA,FEAT_TYPE,POLYGON_NM,geometry
0,43500,LAKE,,"POLYGON ((20.65908 48.29101, 20.65931 48.2911, 20.65963 48.29123, 20.65992 48.29136, 20.66014 48.29148, 20.66029 48.29158, 20.66036 48.29164, 20.66049 48.29171, 20.66058 48.29174, 20.66066 48.29176, 20.66071 48.29175, 20.66074 48.29171, 20.66072 48.29162, 20.6606 48.29147, 20.6605 48.29137, 20.66039 48.29128, 20.66032 48.29124, 20.66014 48.29122, 20.65999 48.29116, 20.65988 48.29112, 20.65981 48.29111, 20.65975 48.29112, 20.6597 48.29111, 20.65968 48.29104, 20.65966 48.29098, 20.6596 48.29096, 20.65947 48.29097, 20.65936 48.29096, 20.65923 48.29091, 20.65909 48.29082, 20.65906 48.29077, 20.65903 48.29066, 20.65893 48.29058, 20.65879 48.2905, 20.65861 48.29043, 20.65854 48.29037, 20.65851 48.29033, 20.65851 48.29028, 20.65842 48.29022, 20.6583 48.29017, 20.65823 48.29012, 20.65809 48.29011, 20.65798 48.29004, 20.65791 48.28998, 20.65784 48.28993, 20.65769 48.28985, 20.6575 48.28981, 20.65737 48.28981, 20.65727 48.28983, 20.65715 48.28982, 20.65706 48.28981, 20.65695 48.28978, 20.65685 48.28969, 20.65677 48.28963, 20.65672 48.28963, 20.65668 48.28964, 20.65664 48.2897, 20.65662 48.28983, 20.65662 48.28994, 20.65653 48.29002, 20.65645 48.29007, 20.65635 48.29006, 20.65625 48.29001, 20.65618 48.28997, 20.65616 48.28986, 20.65615 48.28971, 20.65605 48.28962, 20.65596 48.28953, 20.65578 48.28946, 20.65572 48.2894, 20.65571 48.28933, 20.65562 48.2893, 20.65549 48.28929, 20.65544 48.28926, 20.65542 48.2892, 20.65537 48.28912, 20.65528 48.28908, 20.65515 48.28908, 20.65504 48.28906, 20.65498 48.28909, 20.65494 48.28914, 20.65481 48.28944, 20.65474 48.28969, 20.65474 48.28977, 20.65477 48.28981, 20.65487 48.28983, 20.65498 48.28985, 20.65504 48.2899, 20.65502 48.28997, 20.65502 48.29001, 20.65507 48.29004, 20.65513 48.29004, 20.6552 48.28999, 20.65526 48.28995, 20.65538 48.28996, 20.65552 48.29, 20.65565 48.29004, 20.65571 48.29006, 20.65579 48.29005, 20.65586 48.29004, 20.65593 48.29005, 20.65597 48.29006, 20.65597 48.29011, 20.65598 48.29016, 20.65603 48.2902, 20.65615 48.29022, 20.65627 48.29029, 20.6564 48.2904, 20.65655 48.29055, 20.65672 48.29065, 20.6568 48.29072, 20.65688 48.29081, 20.6569 48.29088, 20.6569 48.29092, 20.65696 48.29098, 20.65712 48.29105, 20.65723 48.29109, 20.6574 48.29109, 20.65752 48.29112, 20.65758 48.29118, 20.65756 48.29124, 20.6576 48.29128, 20.65766 48.29128, 20.65772 48.29126, 20.65772 48.2912, 20.65775 48.29113, 20.65775 48.29109, 20.65769 48.29104, 20.65756 48.29093, 20.65751 48.29083, 20.65749 48.29074, 20.65756 48.29067, 20.65764 48.29062, 20.65778 48.2906, 20.65791 48.2906, 20.65805 48.29061, 20.65818 48.29065, 20.65826 48.2907, 20.65835 48.29074, 20.65843 48.29076, 20.65854 48.29074, 20.6586 48.29074, 20.65857 48.29078, 20.65854 48.29084, 20.65858 48.2909, 20.65866 48.29094, 20.65878 48.29095, 20.65893 48.29098, 20.65908 48.29101))"
1,12976,LAKE,,"POLYGON ((20.25746 46.22483, 20.25737 46.22478, 20.25707 46.22484, 20.25667 46.22491, 20.25647 46.22502, 20.25625 46.2252, 20.25607 46.22524, 20.25542 46.2255, 20.25541 46.22557, 20.25554 46.22567, 20.25573 46.22567, 20.25597 46.22556, 20.25608 46.22546, 20.25632 46.22539, 20.25644 46.22546, 20.25651 46.22555, 20.25654 46.22568, 20.25649 46.22577, 20.25639 46.22583, 20.25598 46.22597, 20.25588 46.22605, 20.2559 46.22622, 20.25611 46.22644, 20.25616 46.22644, 20.25629 46.22637, 20.25631 46.22634, 20.25618 46.22617, 20.2562 46.22611, 20.2566 46.22599, 20.25679 46.22583, 20.25685 46.22569, 20.25684 46.22557, 20.25676 46.22544, 20.25671 46.22538, 20.25671 46.22529, 20.25679 46.22524, 20.25696 46.22521, 20.25737 46.22517, 20.25758 46.22511, 20.25762 46.22507, 20.25746 46.22483))"
2,23303,LAKE,,"POLYGON ((20.23474 46.22513, 20.23449 46.22514, 20.23444 46.22515, 20.2343 46.2254, 20.23433 46.22545, 20.23464 46.22552, 20.23576 46.22591, 20.23724 46.22642, 20.23737 46.22654, 20.23777 46.22667, 20.2387 46.22699, 20.23902 46.22711, 20.23931 46.22718, 20.23935 46.22714, 20.23941 46.22691, 20.23937 46.22686, 20.23882 46.2267, 20.2385 46.22655, 20.23781 46.22633, 20.23758 46.2262, 20.23723 46.22608, 20.23641 46.22578, 20.23586 46.22553, 20.23474 46.22513))"
3,5376,LAKE,,"POLYGON ((20.24114 46.22736, 20.24111 46.22736, 20.24098 46.22761, 20.241 46.22763, 20.2419 46.22782, 20.24252 46.22789, 20.24256 46.22787, 20.2426 46.22768, 20.24256 46.22764, 20.24211 46.22759, 20.24161 46.22745, 20.24114 46.22736))"
4,5369,LAKE,,"POLYGON ((20.24275 46.22768, 20.2427 46.2277, 20.24267 46.22788, 20.2427 46.2279, 20.24295 46.22791, 20.2435 46.22791, 20.24391 46.22792, 20.24432 46.22786, 20.24447 46.22783, 20.24453 46.22778, 20.24454 46.22771, 20.2445 46.22759, 20.24444 46.22757, 20.24384 46.22767, 20.24339 46.22768, 20.24318 46.22772, 20.24275 46.22768))"
5,13869,LAKE,,"POLYGON ((20.24617 46.22263, 20.2462 46.22233, 20.24625 46.22212, 20.2464 46.2219, 20.24666 46.22179, 20.24702 46.22173, 20.24705 46.22168, 20.24695 46.2216, 20.24624 46.22145, 20.24615 46.22148, 20.24597 46.22161, 20.2458 46.22192, 20.24574 46.2221, 20.24576 46.22243, 20.24577 46.22256, 20.24598 46.22306, 20.24609 46.22318, 20.2461 46.22332, 20.24615 46.22359, 20.2462 46.22363, 20.2467 46.22363, 20.24676 46.2236, 20.24666 46.2235, 20.2463 46.22294, 20.24617 46.22263))"
6,5466,LAKE,,"POLYGON ((20.23973 46.22697, 20.23966 46.22697, 20.2395 46.22722, 20.23951 46.22724, 20.23992 46.22738, 20.24079 46.2276, 20.24088 46.22759, 20.24095 46.22745, 20.24099 46.22733, 20.24095 46.2273, 20.24063 46.22725, 20.24003 46.22708, 20.23973 46.22697))"
7,11578,LAKE,,"POLYGON ((20.24494 46.22767, 20.24502 46.2277, 20.24511 46.22767, 20.24517 46.22769, 20.24529 46.22763, 20.24545 46.22762, 20.24555 46.22751, 20.2457 46.22749, 20.2461 46.2273, 20.24648 46.22706, 20.24654 46.22692, 20.24687 46.22671, 20.24724 46.22639, 20.24749 46.22603, 20.24765 46.22567, 20.2478 46.22544, 20.24767 46.22538, 20.24766 46.22532, 20.24758 46.22531, 20.24748 46.22543, 20.24719 46.22592, 20.24707 46.22614, 20.24669 46.22653, 20.24646 46.22671, 20.24623 46.22684, 20.24601 46.22701, 20.24585 46.22706, 20.24562 46.22718, 20.24564 46.22733, 20.24553 46.22739, 20.24544 46.22734, 20.24532 46.2275, 20.24531 46.22756, 20.24521 46.22756, 20.24518 46.2276, 20.24515 46.22758, 20.24513 46.22752, 20.24503 46.22748, 20.245 46.2275, 20.24504 46.22757, 20.24494 46.22767))"
8,39089,LAKE,,"POLYGON ((19.10413 47.3396, 19.10462 47.33946, 19.10523 47.33916, 19.10575 47.33886, 19.10574 47.33875, 19.10575 47.33865, 19.10582 47.33854, 19.10583 47.3385, 19.10556 47.33811, 19.10546 47.33803, 19.10536 47.33789, 19.10523 47.33774, 19.10515 47.33769, 19.10505 47.33756, 19.10496 47.3375, 19.10477 47.33755, 19.10465 47.33756, 19.1045 47.33765, 19.1043 47.33769, 19.10404 47.33776, 19.10349 47.33796, 19.10307 47.33823, 19.10305 47.33833, 19.10314 47.33844, 19.10331 47.33858, 19.10341 47.3387, 19.10348 47.33874, 19.10357 47.33868, 19.10387 47.33852, 19.10434 47.33834, 19.10482 47.33821, 19.10505 47.33809, 19.10514 47.338, 19.10519 47.33796, 19.10527 47.33797, 19.10536 47.33806, 19.10542 47.33809, 19.10537 47.33819, 19.10524 47.33825, 19.10508 47.33836, 19.10491 47.33838, 19.10439 47.33853, 19.10408 47.33865, 19.10388 47.33882, 19.10375 47.33886, 19.10365 47.33895, 19.10361 47.33901, 19.10365 47.33913, 19.10373 47.33928, 19.1038 47.33934, 19.10392 47.33943, 19.10395 47.33953, 19.10405 47.33953, 19.10413 47.3396))"
9,7809,LAKE,,"POLYGON ((19.33489 47.5043, 19.33502 47.50427, 19.33498 47.50408, 19.33497 47.50398, 19.33507 47.50394, 19.33522 47.50395, 19.33538 47.50407, 19.33546 47.50401, 19.3355 47.50377, 19.33545 47.50371, 19.33524 47.50364, 19.335 47.50352, 19.33487 47.50346, 19.33481 47.50348, 19.33481 47.50362, 19.33461 47.5038, 19.33457 47.50396, 19.33463 47.50406, 19.33453 47.5042, 19.33427 47.50429, 19.33419 47.50437, 19.33427 47.50449, 19.33428 47.50457, 19.33401 47.50463, 19.33401 47.50469, 19.3341 47.50471, 19.33413 47.50476, 19.33438 47.50467, 19.33436 47.50455, 19.33441 47.50452, 19.33457 47.50454, 19.3346 47.50452, 19.33469 47.50439, 19.33487 47.50436, 19.33489 47.5043))"
10,375434,LAKE,,"POLYGON ((18.17386 45.83654, 18.17404 45.8352, 18.1733 45.8352, 18.1716 45.83522, 18.17011 45.83474, 18.16929 45.83413, 18.16856 45.83321, 18.16843 45.83232, 18.1697 45.83159, 18.17173 45.83117, 18.1735 45.83115, 18.1747 45.83117, 18.17503 45.82946, 18.17333 45.82932, 18.17071 45.82934, 18.16874 45.82966, 18.16719 45.83049, 18.16635 45.83158, 18.16627 45.83283, 18.16648 45.83372, 18.16719 45.8346, 18.16808 45.83527, 18.16907 45.83582, 18.16995 45.83631, 18.17049 45.83656, 18.17168 45.83666, 18.17372 45.83655, 18.17386 45.83654))"
11,209852,LAKE,,"POLYGON ((18.17496 45.83128, 18.17571 45.83142, 18.17664 45.83143, 18.17775 45.83133, 18.17897 45.83101, 18.17944 45.83091, 18.17978 45.83091, 18.17987 45.83152, 18.17878 45.83257, 18.17789 45.83339, 18.17732 45.83387, 18.17656 45.8345, 18.17603 45.83483, 18.17546 45.83502, 18.17435 45.83516, 18.1741 45.8365, 18.1759 45.83615, 18.17685 45.83562, 18.17757 45.83514, 18.1784 45.83429, 18.17887 45.83365, 18.17969 45.83299, 18.18035 45.8324, 18.18122 45.83158, 18.18012 45.83072, 18.18005 45.83026, 18.17974 45.82987, 18.17878 45.82959, 18.17541 45.82945, 18.17497 45.8311, 18.17496 45.83128))"
12,72510,RIVER,MURA,"POLYGON ((16.87332 46.34354, 16.87265 46.34384, 16.87079 46.34394, 16.87111 46.34406, 16.87238 46.34422, 16.87386 46.34361, 16.87524 46.34235, 16.87574 46.34114, 16.87538 46.33983, 16.87469 46.33938, 16.87255 46.33818, 16.87155 46.3374, 16.8711 46.33744, 16.87105 46.33755, 16.87209 46.33869, 16.87438 46.33969, 16.87503 46.34024, 16.87496 46.34136, 16.87374 46.34305, 16.87332 46.34354))"
13,121894,RIVER,MURA,"POLYGON ((16.86724 46.35115, 16.86676 46.35335, 16.86671 46.35469, 16.86581 46.35531, 16.86465 46.35539, 16.86291 46.35462, 16.86011 46.35325, 16.85752 46.35198, 16.85515 46.35105, 16.85557 46.35169, 16.85699 46.35241, 16.85763 46.35287, 16.85838 46.35311, 16.85929 46.35355, 16.86323 46.35581, 16.86492 46.35588, 16.86614 46.35565, 16.8667 46.35521, 16.86703 46.35471, 16.86728 46.35425, 16.86732 46.35357, 16.86757 46.35251, 16.86728 46.35129, 16.86724 46.35115))"
14,15551,LAKE,SMARAGDVÖLGY-HORGÁSZTÓ,"POLYGON ((21.60831 48.41827, 21.60759 48.41774, 21.60627 48.41864, 21.60693 48.41909, 21.60831 48.41827))"
